=== 调试日志 - 2026-05-29 09:59:05 ===
[2026-05-29 10:03:14] === 广告系列详情（共765个）===
[2026-05-29 10:03:14]   [40] Plawdlik_US_9039_14123_20260526112938084 | ASIN=B0FKTJ8W3P | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [41] Plawdlik_US_9670_15811_20260528160714566 | ASIN=B0D47Q64YR | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [42] Plawdlik_US_9667_15767_20260528160708677 | ASIN=B0D4PHFRHF | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [43] Plawdlik_US_9671_15755_20260528160716861 | ASIN=B0DSBSTGT4 | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [44] Plawdlik_US_9669_15878_20260528160712369 | ASIN=None | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [45] Plawdlik_US_9040_14119_20260526112922959 | ASIN=B0D4PHFRHF | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [46] Plawdlik_US_9043_14106_20260526112908759 | ASIN=B0D4PS9L8M | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [47] Plawdlik_US_9041_14107_20260526112914783 | ASIN=B0DSBSTGT4 | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [48] Plawdlik_US_9044_14110_20260526113011768 | ASIN=B0DR8BZ852 | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [49] Plawdlik_US_9668_15750_20260528160710567 | ASIN=B0FKTJ8W3P | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [50] Plawdlik_US_9672_15786_20260528160951562 | ASIN=B0D4PRQ7JG | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [51] Plawdlik_US_9028_14117_20260524164845236 | ASIN=B0D47Q64YR | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [52] Plawdlik_US_9033_14137_20260524165032068 | ASIN=B0D47Q64YR | 国家=US | 状态=ENABLED | 花费=$1.05
[2026-05-29 10:03:14]   [53] Plawdlik_US_9029_14120_20260524164848077 | ASIN=None | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [54] Plawdlik_US_9030_14141_20260524164850128 | ASIN=B0FKT85DCC | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [55] Plawdlik_US_9031_14113_20260524164852174 | ASIN=B0FKTJ8W3P | 国家=US | 状态=ENABLED | 花费=$1.01
[2026-05-29 10:03:14]   [56] Plawdlik_US_9032_14128_20260524164911174 | ASIN=None | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [57] Plawdlik_US_9661_15844_20260528111003260 | ASIN=None | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [58] Plawdlik_US_9662_15785_20260528111004389 | ASIN=B0D4PRQ7JG | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [59] Plawdlik_US_9664_15873_20260528111009201 | ASIN=B0FKTJ8W3P | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [60] Plawdlik_US_9666_15768_20260528111028068 | ASIN=B0D4PS9L8M | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [61] Plawdlik_US_9663_15889_20260528111007870 | ASIN=None | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [62] Plawdlik_US_9665_15809_20260528111010968 | ASIN=B0D4PSVTXV | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [63] Merach_US_9105_14381_20260526105248096 | ASIN=B0F7RGLXWN | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [64] Merach_US_8825_13903_20260524143447728 | ASIN=B0DT6ZMCJ1 | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [65] Merach_US_8826_13912_20260524143520322 | ASIN=B0BM4KTBFH | 国家=US | 状态=ENABLED | 花费=$4.91
[2026-05-29 10:03:14]   [66] Merach_US_8827_13905_20260524143544027 | ASIN=B0F7RGLXWN | 国家=US | 状态=ENABLED | 花费=$1.43
[2026-05-29 10:03:14]   [67] Merach_US_8824_13909_20260524143417062 | ASIN=B0F8J55GT8 | 国家=US | 状态=ENABLED | 花费=$3.53
[2026-05-29 10:03:14]   [68] Merach_US_8829_13907_20260524143558937 | ASIN=B0DBLXXLZZ | 国家=US | 状态=ENABLED | 花费=$1.52
[2026-05-29 10:03:14]   [69] Merach_US_8831_13910_20260524143610908 | ASIN=B0F1L2BF59 | 国家=US | 状态=ENABLED | 花费=$2.13
[2026-05-29 10:03:14]   [70] Merach_US_9103_14383_20260526105223337 | ASIN=B0BN6WKZ87 | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [71] Merach_US_9106_14459_20260526105305160 | ASIN=B0CJVCM65C | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [72] Merach_US_9102_14448_20260526105211132 | ASIN=B0FG7D5G7N | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [73] Merach_US_9104_14378_20260526105234604 | ASIN=B0CJXN1RFJ | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [74] Merach_US_9101_14433_20260526105201164 | ASIN=B0DJSD23FK | 国家=US | 状态=ENABLED | 花费=$1.99
[2026-05-29 10:03:14]   [75] Bcan_US_9270_14750_20260526123226269 | ASIN=B0F8VG335D | 国家=US | 状态=ENABLED | 花费=$0.62
[2026-05-29 10:03:14]   [76] Bcan_US_9273_14761_20260526123310790 | ASIN=B09ZLF2N4F | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [77] Bcan_US_9321_15840_20260528120810866 | ASIN=B0DKT2PJDG | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [78] Bcan_US_9322_15925_20260528121213061 | ASIN=B0GJS6RFGD | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [79] Bcan_US_9275_14799_20260526123359400 | ASIN=B0FBR3YFF7 | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [80] Bcan_US_9274_14754_20260526123332805 | ASIN=B0FBJFTJ1T | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [81] Bcan_US_9272_14795_20260526123246270 | ASIN=B0951XN99X | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [82] Bcan_US_9320_15836_20260528120755363 | ASIN=B0DH26CX62 | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [83] Bcan_US_9317_15765_20260528120715462 | ASIN=B0DDL1QSHJ | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [84] Bcan_US_9318_15758_20260528120723567 | ASIN=B0FBGSRVML | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [85] Bcan_US_9319_15805_20260528120740269 | ASIN=B0D93R6WR2 | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [86] Sihoo_US_7083_11619_20260517145655322 | ASIN=None | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [87] Sihoo_US_7079_11620_20260517151826011 | ASIN=None | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [88] Sihoo_US_7082_11635_20260517145631799 | ASIN=None | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [89] Reolink_US_8393_13280_20260522150744527 | ASIN=B0FM7186NR | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [90] Reolink_US_8394_13297_20260522150810565 | ASIN=B0D1BG66F6 | 国家=US | 状态=ENABLED | 花费=$0.00
